"","response_id","rating_chooses_appropriate_action","rating_commits_to_action","rating_gathers_information","rating_identifies_issues_opportunities","rating_interprets_information","rating_involves_others","rating_decision_making_final_score"
"1","XSEKmbXmmZi",2.78827957608049,3.10936200104186,2.71878234101441,2.66919022108701,2.47830243069388,2.80702413744509,3.27017305068399
"2","OTigqBfxROr",2.71725080117527,3.04256411018328,2.66715190089602,2.68979401912078,2.44679068304629,2.80873232869019,3.1345898505109
"3","lMGidYKEOBv",2.65477356202687,2.98899477971602,2.623388769858,2.70082769229754,2.41689480957821,2.8073864207932,3.01225195355166
"4","lEmnRmxniLl",2.84421095438011,3.16973118119596,2.76191217826642,2.64234549582725,2.49985354908778,2.80141197263605,3.37232623025975
"5","OhnFgbmEVqG",2.76647456895552,3.08685458080967,2.7022952419862,2.67825093738266,2.46946910011248,2.80864764242028,3.22973838570665
"6","fBXEmQQHwwi",2.769800350317,3.09280538319121,2.70561155875201,2.67342715346432,2.4697590237685,2.80701716315696,3.23441119093945
"7","jNzQJgjOtEu",2.86681215163659,3.18228408854511,2.77557032269226,2.64768460358012,2.513534875062,2.80564770015152,3.42063341914377
"8","YoLiXcwOIUo",2.83575726136746,3.15781362819895,2.75450409250142,2.65022094402666,2.49776917501691,2.80379423193511,3.35854418518937
"9","UcOzLhyPleE",2.74408970441594,3.06934541953716,2.68715160725636,2.6799020981294,2.45805053033775,2.80724048750918,3.18490658090239
"10","hQYtLESziBT",2.74121721904991,3.06650338099892,2.68501883123948,2.68092760691308,2.45683522610636,2.80738681829355,3.17950692328746
"11","vUcMVnGdPZQ",2.75019747847663,3.06901486759419,2.68965731761463,2.68643389181551,2.46331117913808,2.81042980141242,3.20017080433709
"12","EUhllpFvKnU",2.80164313633447,3.11889166733282,2.72752904331824,2.66946637861876,2.48550688060857,2.80837119863967,3.2974851432972
"13","dPAnYHSRVSY",2.93652668741906,3.25098948832018,2.82724626306048,2.62316509616016,2.54314348744747,2.80224468355781,3.55184219467729
"14","ApEzGRSOaYy",2.83746612694633,3.15222101803246,2.75345402753931,2.65956680889398,2.50155076761627,2.80770729683491,3.36607938163942
"15","ggoNbpfpdLV",2.68171743907256,3.00660181287788,2.64051245160612,2.70358098830172,2.43209535947564,2.81098490672634,3.06827286597757
"16","nMcHtfeohEP",2.932077472132,3.23721125422684,2.8209576092346,2.63757022490698,2.54519855448848,2.80762085647706,3.54904366624135
"17","IdYziHMcgHi",2.81912247785659,3.12995796500023,2.73852439126302,2.67173907738435,2.49551743021812,2.81090113626232,3.33403893395762
"18","IaFEkYxawoX",2.73895674583843,3.06127616677861,2.68238828782405,2.68582274108545,2.45713477896956,2.80914450394164,3.17703278847301
"19","bNvGteuGJNj",2.66193029416942,2.99831544196836,2.62941563477085,2.6952109961628,2.41898212910827,2.80579172018607,3.02437569663127
"20","tEiBRwYpPba",2.77996938770161,3.10506333136358,2.71386129466789,2.66679393358434,2.47313889871077,2.80529267488578,3.25222299856684
"21","VlqJPmlyynD",3.22774548752564,3.50133163145559,3.03144020824466,2.57085345414963,2.68222327221941,2.80816405513756,4.12170063966934
"22","qDJIUyzHdZb",2.96656725821801,3.28111648148923,2.8496798144254,2.61188689398899,2.55568318105878,2.80049200861508,3.60807175473012
"23","WZeVSZWtaxo",2.74718192032786,3.06833702660542,2.68815241635316,2.68435864286927,2.46106705759232,2.80931707039318,3.19313366621769
"24","zAjehCmsPDp",2.80368989125067,3.13128918231519,2.73235110113585,2.65455710050123,2.48201699023199,2.80257024429485,3.29517624043992
"25","bNlCKwWJnyV",2.68423200944181,2.99761196146559,2.63872519833698,2.71837272566167,2.43797924521846,2.8171605500183,3.07981212116289
"26","NyZGQolRXuu",2.84656170466146,3.15083326462784,2.75690037322184,2.67051792927864,2.50976088281146,2.81294858214025,3.38934207207815
"27","PCccQQshzLQ",2.72042073712695,3.0406090845968,2.66788454559747,2.69562192360729,2.45026991635706,2.81136708784085,3.14357052807383
"28","bNJagTIsbFc",2.6409670292348,2.97410525887423,2.61274623939377,2.70743720117421,2.41156972727137,2.80876492040092,2.98702827163369
"29","tgqJQXkWUQw",2.71936330675467,3.04468496256235,2.66873019007728,2.68899781400128,2.44767154324434,2.80860783111779,3.13854266473289
"30","EIINbrabwKG",2.63464675011499,2.97223496940046,2.60944898522049,2.70370229746337,2.40705510490299,2.80667968945417,2.97254605853923
"31","KuGLvnVtHSg",2.71839475181519,3.04912335884007,2.6697292453208,2.68196663270356,2.44499546191493,2.80569324124768,3.1335188937718
"32","NZVqlGLlpNs",2.65019454984036,2.97803073408315,2.61794060955534,2.71125677756357,2.4176592329465,2.81115308607773,3.00746290737781
"33","uxzYsVhCxPL",2.63388374146742,2.96400462641503,2.60650244418314,2.71419318264376,2.40987153957965,2.81082415852342,2.9755486534517
"34","JkQHekWJtZb",2.60088569640964,2.92571252136492,2.58020502985984,2.73368863486742,2.39828066000217,2.81560481320737,2.91686917030464
"35","OHsnKgwhnWB",2.79079948844181,3.11068334458797,2.72028024145349,2.66989245041947,2.47986068086758,2.80753936788665,3.27560548015118
"36","vmrlOpnirwd",2.83489796905716,3.15421492636704,2.75299101037967,2.65428479029663,2.49855984270453,2.8053475280906,3.35856022748105
"37","LlsrSHOikGG",2.73122348704201,3.05678000132806,2.67765098878445,2.68427072038986,2.45253798356414,2.80780561735019,3.16062325570671
"38","CIkWBRvoROC",2.83213574463872,3.15129976592836,2.75088208821917,2.65552001123122,2.49746770775059,2.80558831633313,3.35347598642191
"39","GNFPVdWLKdY",2.77434651022949,3.10502761250933,2.71144625489352,2.66124549900493,2.46843868569048,2.80254330880351,3.23837241984914
"40","ulfpABDodol",2.75528787027355,3.08377429484953,2.69653245307632,2.67132578238017,2.46138174234607,2.80483049140767,3.20396876353807
"41","YiqIDoyMBrB",2.92969145156713,3.24260233487403,2.82165404117735,2.62782576965784,2.54093374656374,2.80348500958067,3.53995752539085
"42","LULyiJMxihe",2.76962862696597,3.08416707842857,2.7027878938016,2.6850642909973,2.47324261713514,2.81167686834902,3.23911463901574
"43","APwvJxgJYbc",2.73548050282971,3.05738594959561,2.67966369920337,2.68768004434965,2.45585335316351,2.80956918802062,3.17076577127149
"44","ybRTcxGYtud",2.69030634419363,3.03678725291922,2.65379445330311,2.67086895831835,2.42662164601632,2.79863626940128,3.07154594191821
"45","JuimzWvMqkX",2.76799701825382,3.09090910845611,2.70423693591698,2.67422413848474,2.46904311938201,2.80717057209324,3.23108782190051
"46","fMNePdilVhL",2.7486286374484,3.06710625179033,2.68837900586631,2.68748116910452,2.46279709596954,2.81070546322452,3.19743325532421
"47","xZKApboHgaj",2.65600215056238,2.99275947998265,2.6251125691789,2.69690454922128,2.41634411512808,2.80592381587118,3.01304844918906
"48","osrvHnMWbWS",2.81069443972788,3.12754597073394,2.73415364473478,2.66664649748123,2.48946277587169,2.80807545176785,3.31467834492838
"49","XrhblvWmEdy",2.76973329656078,3.08418002008158,2.70283675831274,2.68515079321434,2.47332495583959,2.81172130511579,3.23936518025555
"50","FWGwDpQVdGz",2.78881867883977,3.10927606883587,2.71898543763133,2.66984433226258,2.47879059623604,2.80733681343793,3.27155403398447
"51","bKAODanOrGk",2.58059451311642,2.92230633619152,2.57044649637942,2.71814596026079,2.38269535452988,2.80748315118651,2.86883198856735
"52","vIXkdnTsDCC",2.76911206745975,3.08679469470504,2.70340365334291,2.68095828067852,2.471705993132,2.80997936754245,3.23628070448931
"53","PUJHmNKqZOG",2.83495763479952,3.14639574566813,2.75052705171073,2.6650325660469,2.50189348802352,2.80967130705265,3.36334834343539
"54","PeSSiTtevLg",2.77026898792819,3.08791499527551,2.7042548941105,2.68057854224303,2.47220569694717,2.80993380871161,3.23846992402684
"55","CPavFOMmdhn",2.93631729309454,3.23364687322387,2.82163522306773,2.64666303879226,2.55025080593875,2.81166635909702,3.56161897768091
"56","nxdTTYvQZOX",2.7259356121513,3.05433891954976,2.67461333836242,2.68234375848013,2.4491288114134,2.80654227999673,3.14902679200088
"57","buhSvaruQxU",2.64330010310294,2.98094016156026,2.61591967272252,2.70041671685794,2.41065591792481,2.80616002332012,2.98872730258719
"58","mquDKdDSYEk",2.8234226848298,3.13894406689489,2.74322363174807,2.66373619536008,2.49534983118712,2.80808348612623,3.3393141298573
"59","xklHjwrZKin",2.82424908972295,3.13194259974296,2.74134778172125,2.67412944848552,2.4989830527723,2.81233574641454,3.34550847281461
"60","AkBlYHKFhim",2.71173081790071,3.03177854862388,2.66135831989578,2.69904244253469,2.44669107701736,2.81193758741435,3.12737346952981
"61","xcJhOAPBZRK",2.80464625521765,3.11091606966662,2.72627355207265,2.6833580106851,2.49137452278549,2.81423038595549,3.30962766972407
"62","cPkhTTkRkYt",2.75609480883917,3.0722541970855,2.69320964353563,2.68787637269305,2.46689620770088,2.81155485671033,3.2127970258463
"63","NqXFVsxuMMQ",2.79732141722607,3.12835849796449,2.72869563692083,2.65222372182996,2.47790725826734,2.80104366256453,3.2812045055879
"64","lneRjfJdIxV",2.653171881529,2.98666664061414,2.62196285239682,2.70241574456885,2.41652936391903,2.80787631852175,3.00968238845219
"65","EPBdQFFYQXp",2.75436722289834,3.07195534513972,2.69237598685961,2.68656517130921,2.46557299554465,2.8108682412411,3.20871240587656
"66","IrLtKBNYbRX",2.67249607130579,3.00061761594609,2.63466525746262,2.70258169394652,2.42687555942136,2.80973044798429,3.04907532274443
"67","ucoCxJyouko",2.74297164939059,3.10303951980951,2.69740116215375,2.63273118994342,2.44296335054388,2.78818466004364,3.16214984866643
"68","vxaSrqLzriK",2.62967906189522,2.95604545913312,2.60217099438257,2.72088739478901,2.40968799153317,2.81312484512433,2.9698996094318
"69","RdsnQTnRgew",2.73600861792813,3.05370376836584,2.67871712788898,2.69323908880929,2.45784252469675,2.81185156027702,3.17425412977124
"70","jLdwIaqXHRy",2.42894657548245,2.75863524950489,2.45351056534226,2.79091811778454,2.32425950237106,2.82269450369372,2.59185646100123
"71","oTxLlOcjzar",2.84479748081899,3.15517507237777,2.75752854414743,2.66282673516404,2.50645813392509,2.80969521318238,3.38241269429128
"72","jisZAoPoAyy",2.77427009178275,3.08733164035997,2.70577955788865,2.68535883098098,2.47580590448627,2.81222453657883,3.24868698570509
"73","MjEqmAawQXz",2.80455688620493,3.11435844787895,2.72733133026613,2.67856351071812,2.4898539770329,2.81229577696341,3.30736403906632
"74","bYsiLwbMtFs",2.66265569859871,2.98923013289856,2.62683315712095,2.70835220409746,2.42340574912559,2.81113871615661,3.03155769182177
"75","MBUFktWkbXj",2.70534456083792,3.0225570377408,2.65569238540089,2.70529056918274,2.44520822184855,2.8138572528768,3.11709165836229
"76","olcIyNVISNb",2.6427468624204,2.97204214566732,2.61285023012043,2.71202908577226,2.41392864372188,2.81077448724224,2.99264368426572
"77","wsnsMLHFKeP",2.71280172661975,3.04010366258405,2.6644666551623,2.68872850805476,2.44409304168728,2.80789269412699,3.12507422234541
"78","wRewZpVnZSj",2.74934307594181,3.07686298892664,2.69179075629956,2.67485543978326,2.45929893280222,2.80569876011817,3.19340487576161
"79","lOHHPNFhqOp",2.77973279854964,3.10017249755236,2.71220301772931,2.67324391805081,2.47499437254988,2.80786227674691,3.25454218429676
"80","zaLcijpFSWN",2.95833716774094,3.25888065005426,2.83908218892507,2.63408943441667,2.55811940471599,2.80865131472852,3.60096555149472
"81","VpMXDrzNXOR",2.69281218276161,3.01988792307387,2.64948525386208,2.69646381743914,2.43581974041637,2.80915160201728,3.08775816903511
"82","IImrOhksjug",2.76144551430089,3.08862342935768,2.7007085863323,2.67082687771507,2.4645090373117,2.8051996120171,3.21628171762131
"83","HpsUMSnTCFd",2.7954246690997,3.11392778795106,2.72329037697555,2.67006158699246,2.4823767670492,2.80803514506014,3.28509024138057
"84","MOWvznUxaId",2.74281653030427,3.06883823047244,2.68644587233929,2.67932802349029,2.45719586699931,2.80689206840805,3.1820666605966
"85","pczHIdPpHng",2.79572108806602,3.10979417258672,2.72210103295626,2.67600707606664,2.48436122030372,2.8104513522138,3.28827493949076
"86","AhsKagyRNgc",2.87151288890442,3.18180341722346,2.77742675808002,2.65302097555873,2.51767865747227,2.80822656698488,3.4325155480948
"87","vWoBICUOcwo",2.83655536702773,3.14980897050233,2.75229675010474,2.66195733210455,2.50179994848377,2.8085835216845,3.36526413701499
"88","cfrfLJAtmep",2.87555992924075,3.19694816705428,2.78397856036204,2.63634755369133,2.51471247710566,2.80190183483568,3.4335108326804
"89","GruGBznBCKY",2.62507235104609,2.95498229371944,2.59986322788638,2.71775495915752,2.40627138106185,2.81144017694016,2.95916575956789
"90","zsyiYJFGXwZ",2.81177196899556,3.13158396154964,2.73589987926997,2.66219941048105,2.48867064018751,2.80638836302699,3.31493996741916
"91","gTXHKZjiFDv",2.78712463749805,3.11233105816099,2.71923391393742,2.66398200957992,2.47608709127173,2.80482474337597,3.26556156364172
"92","IMZwZnMVnyr",2.82877112092951,3.15127247348578,2.7494350895464,2.65220802362268,2.49465767465197,2.80394639835002,3.34519157471896
