"","UNIQUE_ID","High_Performer","Protected_Group","Retained","scale","bio_scale","SJ1.score","SJ2.score","SJ3.score","SJ4.score","SJ5.score","SJ6.score","SJ7.score","SJ8.score","SJ9.score","latency","PScale1","PScale2","PScale3","PScale4","PScale5","PScale6","PScale7","PScale8","PScale9","PScale10","PScale11","PScale12","PScale13"
"1",245021089,0,0,1,0.110470333395263,0.109397816612075,0.125814021895194,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,-0.273482857113636,0.0770531466804187,0.1613607670349,67.4444444444444,4,3.75,3.5,1.5,3.75,2.83333333333333,2,1.75,1,1,1,1.25,1.8
"2",245181465,1,1,0,8.21426533141532,0.159961845457078,0.125814021895194,0.180214679108811,0.019915664942267,0.00938328374616502,0.119082310470903,0.0697295574471017,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,51.4444444444444,4,4,4,1,3.25,2.5,1,2.75,1,1,1,1,1.8
"3",229682665,0,1,0,-2.17018322593355,0.142194561702489,-0.0317977188044307,-0.135979512919568,0.105069144058838,0.00938328374616502,-0.131017483284654,0.0308841431621186,-0.0997197298364098,-0.0730077558028678,-0.175268761698318,79.1111111111111,4,4,4,2.5,1.75,3,1,4,1,1,2.5,1,1.6
"4",245174982,1,0,1,4.6142303849082,-0.0737159242511146,-0.1485486438502,-0.00732295582083226,0.019915664942267,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.00347663852804739,0.0733464753010898,-0.21570445232357,90,2.5,3.75,3.75,2,3,2.5,1,3,1,2,2.25,1.5,1.8
"5",244979030,0,0,1,-5.55587233051494,-0.117438744194688,0.190540246803742,0.180214679108811,0.019915664942267,0.123524902704998,0.119082310470903,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,42.8888888888889,2,2.75,3,3.25,4,3.33333333333333,2,3,1,2.5,4,1.25,1.6
"6",244953017,1,1,1,4.82857622683393,0.0734978112637426,0.125814021895194,-0.0295278093050692,0.193980055278995,-0.106599064831381,0.119082310470903,0.0697295574471017,0.0486520924781456,0.0770531466804187,-0.0576981988450397,25.4444444444444,4,4,4,1,4,4,1,1,1,1,1,1,1
"8",245005686,0,1,1,-0.823829973811001,0.130999011006829,0.190540246803742,-0.0295278093050692,0.105069144058838,0.0277138569392193,0.119082310470903,0.0308841431621186,0.0558125618011219,0.0733464753010898,0.135627171835627,84.2222222222222,1.75,3.25,2.5,3,2.75,2.5,1.25,2,1,2,2.5,2,1.8
"9",245082123,1,0,1,6.61905202345131,-0.00601935896083696,0.125814021895194,-0.00732295582083226,0.105069144058838,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.0486520924781456,0.0733464753010898,0.135627171835627,43.3333333333333,1.5,3.75,3,2.75,2.75,3.16666666666667,1,2.5,1,1.75,4,1.25,1
"10",245048457,0,0,0,-7.67235514030855,-0.0863695561830561,-0.0317977188044307,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0770531466804187,-0.0576981988450397,42.2222222222222,2,2.75,2.75,3,1.5,3,1.5,3.5,1,2.25,3,1,1.8
"11",245065893,1,0,1,4.6142303849082,-0.0657004209940564,0.088268947151857,NA,0.193980055278995,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,-0.0730077558028678,NA,NA,3,3.75,4,1.5,3.25,3.5,1.25,2.5,2,1.5,2.25,2,1.8
"12",244294286,1,0,0,4.26767871385712,0.0288664209532876,0.190540246803742,-0.00732295582083226,0.019915664942267,-0.0782702222235596,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0153154829883771,-0.0576981988450397,43.4444444444444,3.25,3,2.5,2.25,3.75,3.33333333333333,1.25,2,1.25,2,1.75,2,2
"13",240007576,0,1,0,-4.73845167095933,0.141069770617963,-0.432689695382241,-0.331883946664188,0.105069144058838,0.00739140818196312,0.0195283973148153,-0.505875606596629,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,105,3,4,3.25,2.75,1,3.66666666666667,1,3.5,1,1.25,1.75,2,2
