"","Overall_Rating","Technical_Skills","Teamwork","Customer_Service","Hire_Again","High_Performer","Retained","scale"
"1",3,3,4,4,4,0,1,0.110470333395263
"2",5,5,5,5,5,1,0,8.21426533141532
"3",3,3,3,3,4,0,0,-2.17018322593355
"4",4,4,4,4,5,1,1,4.6142303849082
"5",2,2,3,2,3,0,1,-5.55587233051494
"6",4,4,5,4,4,1,1,4.82857622683393
"8",3,4,3,3,4,0,1,-0.823829973811001
"9",5,4,5,4,5,1,1,6.61905202345131
"10",2,2,2,2,2,0,0,-7.67235514030855
"11",4,4,4,4,5,1,1,4.6142303849082
"12",4,4,4,4,5,1,0,4.26767871385712
"13",2,3,3,3,2,0,0,-4.73845167095933
"14",3,3,4,3,3,0,1,-1.60928571295674
"15",3,3,3,2,4,0,0,-3.11214662387716
"16",3,2,3,2,4,0,1,-3.76539653389756
"17",2,2,2,2,2,0,1,-7.32580346925747
"18",3,3,3,3,5,0,1,-1.04583890647407
"19",4,4,3,3,4,0,1,0.188853174397979
"21",3,3,4,3,5,0,0,-0.400252087191017
"22",3,4,2,3,4,0,0,-2.16252013519621
"23",3,3,3,3,5,0,0,-1.39239057752515
"24",3,2,3,4,2,0,1,-3.43705503482715
"25",2,2,2,2,3,0,0,-6.89456249190015
"26",5,5,5,5,5,1,1,8.56081700246639
"27",5,4,5,3,5,1,1,5.67708862550771
"28",3,3,4,4,4,0,1,0.110470333395263
"29",2,2,3,3,2,0,1,-5.39170158097973
"31",2,2,2,4,2,0,0,-5.78842834442134
"32",4,4,4,4,4,1,1,3.8364377364998
"33",4,3,4,3,5,1,1,2.67246540589312
"34",3,3,3,3,4,0,1,-1.82363155488248
"35",2,3,3,3,2,0,0,-4.73845167095933
"36",4,4,4,5,5,1,1,5.5561937828518
"37",2,2,2,2,4,0,0,-6.11676984349175
"38",2,2,3,2,2,0,0,-6.68021664997441
"39",3,3,3,3,4,0,0,-2.17018322593355
"40",2,3,3,2,2,0,1,-5.33386339785186
"41",3,3,4,4,4,0,0,-0.236081337655814
"42",4,3,4,4,5,1,1,3.61442880383672
"43",1,1,1,1,1,0,0,-12.3967344062751
"44",3,3,3,3,5,0,1,-1.04583890647407
"45",4,4,4,4,5,1,1,4.6142303849082
"46",5,5,5,5,5,1,1,8.56081700246639
